office_id,term_start,holder_id,term_end,source_id
IN-PRES,2017-07-25,shri-ram-nath-kovind,2022-07-25,src-2e3e251ee6a4
IN-PRES,2022-07-25,smt-droupadi-murmu,,src-03bbc852e0b1
IN-S01-CM,1989-12-03,marri-chenna-reddy,1990-12-17,src-4956697aa849
IN-S01-CM,1990-12-17,n-janardhan-reddy,1992-10-09,src-4956697aa849
IN-S01-CM,1992-10-09,kotla-vijaya-bhaskara-reddy,1994-12-12,src-4956697aa849
IN-S01-CM,1994-12-12,n-t-rama-rao,1995-09-01,src-4956697aa849
IN-S01-CM,1995-09-01,n-chandrababu-naidu,2004-05-14,src-4956697aa849
IN-S01-CM,2004-05-14,y-s-rajasekhara-reddy,2009-09-02,src-4956697aa849
IN-S01-CM,2009-09-03,k-rosaiah,2010-11-25,src-4956697aa849
IN-S01-CM,2010-11-25,n-kiran-kumar-reddy,2014-03-01,src-4956697aa849
IN-S01-CM,2014-03-01,,2014-06-08,src-4956697aa849
IN-S01-CM,2014-06-08,n-chandrababu-naidu,2019-05-29,src-4956697aa849
IN-S01-CM,2019-05-30,y-s-jagan-mohan-reddy,2024-06-11,src-4956697aa849
IN-S01-CM,2024-06-12,n-chandrababu-naidu,,src-4956697aa849
IN-S02-CM,1980-01-18,gegong-apang,1995-01-22,src-cc4613f255cb
IN-S02-CM,1995-01-22,gegong-apang,1999-01-19,src-cc4613f255cb
IN-S02-CM,1999-01-19,mukut-mithi,2003-08-03,src-cc4613f255cb
IN-S02-CM,2003-08-03,gegong-apang,2007-04-09,src-cc4613f255cb
IN-S02-CM,2007-04-09,dorjee-khandu,2011-04-30,src-cc4613f255cb
IN-S02-CM,2011-05-05,jarbom-gamlin,2011-11-01,src-cc4613f255cb
IN-S02-CM,2011-11-01,nabam-tuki,2016-01-26,src-cc4613f255cb
IN-S02-CM,2016-01-26,,2016-02-19,src-cc4613f255cb
IN-S02-CM,2016-02-19,kalikho-pul,2016-07-13,src-cc4613f255cb
IN-S02-CM,2016-07-13,nabam-tuki,2016-07-17,src-cc4613f255cb
IN-S02-CM,2016-07-17,pema-khandu,2016-12-31,src-cc4613f255cb
IN-S02-CM,2016-12-31,pema-khandu,,src-cc4613f255cb
IN-S03-CM,1985-12-24,prafulla-kumar-mahanta,1990-11-28,src-2c57781325fd
IN-S03-CM,1990-11-28,,1991-06-30,src-2c57781325fd
IN-S03-CM,1991-06-30,hiteswar-saikia,1996-04-22,src-2c57781325fd
IN-S03-CM,1996-04-22,bhumidhar-barman,1996-05-14,src-2c57781325fd
IN-S03-CM,1996-05-15,prafulla-kumar-mahanta,2001-05-17,src-2c57781325fd
IN-S03-CM,2001-05-17,tarun-gogoi,2006-05-13,src-2c57781325fd
IN-S03-CM,2006-05-14,tarun-gogoi,2011-05-17,src-2c57781325fd
IN-S03-CM,2011-05-18,tarun-gogoi,2016-05-23,src-2c57781325fd
IN-S03-CM,2016-05-24,sarbananda-sonowal,2021-05-09,src-2c57781325fd
IN-S03-CM,2021-05-10,himanta-biswa-sarma,2026-05-12,src-2c57781325fd
IN-S03-CM,2026-05-13,,,src-2c57781325fd
IN-S04-CM,1990-03-10,lalu-prasad-yadav,1995-03-28,src-b01dae08d922
IN-S04-CM,1995-04-04,lalu-prasad-yadav,1997-07-25,src-b01dae08d922
IN-S04-CM,1997-07-25,rabri-devi,1999-02-11,src-b01dae08d922
IN-S04-CM,1999-02-12,,1999-03-09,src-b01dae08d922
IN-S04-CM,1999-03-09,rabri-devi,2000-03-02,src-b01dae08d922
IN-S04-CM,2000-03-03,nitish-kumar,2000-03-10,src-b01dae08d922
IN-S04-CM,2000-03-11,rabri-devi,2005-03-06,src-b01dae08d922
IN-S04-CM,2005-03-07,,2005-11-24,src-b01dae08d922
IN-S04-CM,2005-11-24,nitish-kumar,2014-05-17,src-b01dae08d922
IN-S04-CM,2014-05-20,jitan-ram-manjhi,2015-02-22,src-b01dae08d922
IN-S04-CM,2015-02-22,nitish-kumar,2017-07-26,src-b01dae08d922
IN-S04-CM,2017-07-27,nitish-kumar,2022-08-09,src-b01dae08d922
IN-S04-CM,2022-08-10,nitish-kumar,2024-01-28,src-b01dae08d922
IN-S04-CM,2024-01-28,nitish-kumar,,src-b01dae08d922
IN-S05-CM,1990-01-25,churchill-alemao,1990-04-14,src-163e2751bb1f
IN-S05-CM,1990-04-14,luis-proto-barbosa,1990-12-14,src-163e2751bb1f
IN-S05-CM,1990-12-14,,1991-01-25,src-163e2751bb1f
IN-S05-CM,1991-01-25,ravi-s-naik,1993-05-18,src-163e2751bb1f
IN-S05-CM,1993-05-18,wilfred-de-souza,1994-04-02,src-163e2751bb1f
IN-S05-CM,1994-04-02,ravi-s-naik,1994-12-16,src-163e2751bb1f
IN-S05-CM,1994-12-16,pratapsingh-rane,1998-07-29,src-163e2751bb1f
IN-S05-CM,1998-07-29,wilfred-de-souza,1998-11-26,src-163e2751bb1f
IN-S05-CM,1998-11-26,luizinho-faleiro,1999-02-09,src-163e2751bb1f
IN-S05-CM,1999-02-09,,1999-06-09,src-163e2751bb1f
IN-S05-CM,1999-06-09,luizinho-faleiro,1999-11-24,src-163e2751bb1f
IN-S05-CM,1999-11-24,francisco-sardinha,2000-10-23,src-163e2751bb1f
IN-S05-CM,2000-10-24,manohar-parrikar,2005-02-02,src-163e2751bb1f
IN-S05-CM,2005-02-02,pratapsingh-rane,2007-06-07,src-163e2751bb1f
IN-S05-CM,2007-06-08,digambar-kamat,2012-03-09,src-163e2751bb1f
IN-S05-CM,2012-03-09,manohar-parrikar,2014-11-08,src-163e2751bb1f
IN-S05-CM,2014-11-08,laxmikant-parsekar,2017-03-13,src-163e2751bb1f
IN-S05-CM,2017-03-14,manohar-parrikar,2019-03-17,src-163e2751bb1f
IN-S05-CM,2019-03-19,pramod-sawant,,src-163e2751bb1f
IN-S06-CM,1990-03-04,chimanbhai-patel,1990-10-25,src-04bd2da730f1
IN-S06-CM,1990-10-25,chimanbhai-patel,1994-02-17,src-04bd2da730f1
IN-S06-CM,1994-02-17,chhabildas-mehta,1995-03-14,src-04bd2da730f1
IN-S06-CM,1995-03-14,keshubhai-patel,1995-10-21,src-04bd2da730f1
IN-S06-CM,1995-10-21,suresh-mehta,1996-09-19,src-04bd2da730f1
IN-S06-CM,1996-09-19,,1996-10-23,src-04bd2da730f1
IN-S06-CM,1996-10-23,shankersinh-vaghela,1997-10-27,src-04bd2da730f1
IN-S06-CM,1997-10-28,dilip-parikh,1998-03-04,src-04bd2da730f1
IN-S06-CM,1998-03-04,keshubhai-patel,2001-10-06,src-04bd2da730f1
IN-S06-CM,2001-10-07,narendra-modi,2014-05-22,src-04bd2da730f1
IN-S06-CM,2014-05-22,anandiben-patel,2016-08-03,src-04bd2da730f1
IN-S06-CM,2016-08-07,vijay-rupani,2021-09-12,src-04bd2da730f1
IN-S06-CM,2021-09-13,bhupendra-patel,,src-04bd2da730f1
IN-S07-CM,1987-06-20,devi-lal,1990-04-02,src-e08fc8e92a25
IN-S07-CM,1990-04-02,om-prakash-chautala,1990-07-06,src-e08fc8e92a25
IN-S07-CM,1990-07-06,banarsi-das-gupta,1990-07-17,src-e08fc8e92a25
IN-S07-CM,1990-07-17,om-prakash-chautala,1991-03-22,src-e08fc8e92a25
IN-S07-CM,1991-03-22,hukam-singh,1991-04-06,src-e08fc8e92a25
IN-S07-CM,1991-04-06,,1991-07-23,src-e08fc8e92a25
IN-S07-CM,1991-07-23,bhajan-lal,1996-05-09,src-e08fc8e92a25
IN-S07-CM,1996-05-11,bansi-lal,1999-07-23,src-e08fc8e92a25
IN-S07-CM,1999-07-24,om-prakash-chautala,2005-03-05,src-e08fc8e92a25
IN-S07-CM,2005-03-05,bhupinder-singh-hooda,2014-10-26,src-e08fc8e92a25
IN-S07-CM,2014-10-26,manohar-lal-khattar,2024-03-12,src-e08fc8e92a25
IN-S07-CM,2024-03-12,nayab-singh-saini,,src-e08fc8e92a25
IN-S08-CM,1990-03-05,shanta-kumar,1992-12-15,src-c968d22ee290
IN-S08-CM,1992-12-15,,1993-12-03,src-c968d22ee290
IN-S08-CM,1993-12-03,virbhadra-singh,1998-03-23,src-c968d22ee290
IN-S08-CM,1998-03-24,prem-kumar-dhumal,2003-03-05,src-c968d22ee290
IN-S08-CM,2003-03-06,virbhadra-singh,2007-12-30,src-c968d22ee290
IN-S08-CM,2007-12-30,prem-kumar-dhumal,2012-12-25,src-c968d22ee290
IN-S08-CM,2012-12-25,virbhadra-singh,2017-12-27,src-c968d22ee290
IN-S08-CM,2017-12-27,jai-ram-thakur,2022-12-11,src-c968d22ee290
IN-S08-CM,2022-12-11,sukhvinder-singh-sukhu,,src-c968d22ee290
IN-S10-CM,1989-11-30,veerendra-patil,1990-10-10,src-46e657180a26
