alliance_id,party_id,term_start,term_end,source_id
AIADMK+,parties.IN.AIADMK,2021-04-06,,src-1bde6be308c3
AIADMK+,parties.IN.AIADMK,2026-05-08,,src-bca3c60cdafb
AIADMK+,parties.IN.BJP,2021-04-06,,src-1bde6be308c3
AIADMK+,parties.IN.DMDK,2026-05-08,,src-bca3c60cdafb
AIADMK+,parties.IN.PB,2021-04-06,,src-1bde6be308c3
AIADMK+,parties.IN.PMK,2021-04-06,,src-1bde6be308c3
AIADMK+,parties.IN.TMC_M,2021-04-06,,src-1bde6be308c3
AIADMK+INC,parties.IN.AIADMK,1991-06-24,1996-05-12,src-a99bd0998bba
AIADMK+INC,parties.IN.AIADMK,2001-05-14,2001-09-21,src-a99bd0998bba
AIADMK+INC,parties.IN.AIADMK,2001-09-21,2002-03-01,src-a99bd0998bba
AITC+INC,parties.IN.AITC,2011-05-20,2016-05-26,src-94b43c14e514
AMMK+,parties.IN.AIMIM,2021-04-06,,src-1bde6be308c3
AMMK+,parties.IN.AMMK,2021-04-06,,src-1bde6be308c3
AMMK+,parties.IN.DMDK,2021-04-06,,src-1bde6be308c3
AMMK+,parties.IN.SDPI,2021-04-06,,src-1bde6be308c3
DMK+TMC,parties.IN.DMK,1996-05-13,2001-05-12,src-a99bd0998bba
GDA,parties.IN.AIMIM,2025-02-05,,src-2f4ff281b378
GDA,parties.IN.ASPKR,2025-02-05,,src-2f4ff281b378
GDA,parties.IN.LJPPP,2025-02-05,,src-2f4ff281b378
GDSF,parties.IN.AIMIM,2020-02-08,,src-d5fb5fb008fc
GDSF,parties.IN.BSP,2020-02-08,,src-d5fb5fb008fc
GDSF,parties.IN.RLSP,2020-02-08,,src-d5fb5fb008fc
GDSF,parties.IN.SBSP,2020-02-08,,src-d5fb5fb008fc
GDSF,parties.IN.SJDD,2020-02-08,,src-d5fb5fb008fc
INDIA,parties.IN.CPIM,2024-10-01,,src-2a3498ed6ba5
INDIA,parties.IN.INC,2024-10-01,,src-2a3498ed6ba5
INDIA,parties.IN.JKNC,2024-10-01,,src-2a3498ed6ba5
INDIA bloc (from July 2023),parties.IN.AITC,2021-05-05,2026-05-12,src-94b43c14e514
INDIA-2024,parties.IN.AITC,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.CPI,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.CPIM,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.CPIMLL,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.DMK,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.INC,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.IUML,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.JMM,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.KEC,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.MDMK,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.NCP_SP,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.RJD,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.RLP,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.SP,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.SS_UBT,2024-06-01,,src-ac94a7e5b1b0
INDIA-2024,parties.IN.VCK,2024-06-01,,src-ac94a7e5b1b0
INLD+,parties.IN.BSP,2024-10-01,,src-7b64de7a1ba5
INLD+,parties.IN.INLD,2024-10-01,,src-7b64de7a1ba5
