state_entity_id,event_id,kind,display,polled_on,term_end_estimated,data_status,notes
andaman-and-nicobar,general-2024,parliament,Andaman and Nicobar Islands · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
andhra-pradesh,assembly-2019,assembly,Andhra Pradesh Assembly · April 2019,2019-04-11,2024-04-10,complete,Held concurrently with Parliament 2019 phase 1 (11 April 2019). 175 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
andhra-pradesh,assembly-2024,assembly,Andhra Pradesh Assembly · May 2024,2024-05-13,2029-05-12,complete,"Held concurrently with Parliament 2024 (single phase, 13 May 2024)."
andhra-pradesh,assembly-2014,assembly,Andhra Pradesh Assembly · May 2014,2014-05-07,2019-05-06,complete,175 ACs. Residual Andhra Pradesh phase of the combined 2014 Andhra Pradesh/Telangana election; pre-2014 undivided Andhra Pradesh rows remain deferred. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
andhra-pradesh,general-2019,parliament,Andhra Pradesh · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
andhra-pradesh,general-2024,parliament,Andhra Pradesh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
arunachal-pradesh,assembly-2014,assembly,Arunachal Pradesh Assembly · April 2014,2014-04-09,2019-04-08,complete,60 ACs. Public page records polling on 9 April 2014; event id follows the public polling month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
arunachal-pradesh,assembly-2019,assembly,Arunachal Pradesh Assembly · April 2019,2019-04-11,2024-04-10,complete,60 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
arunachal-pradesh,assembly-1984,assembly,Arunachal Pradesh Assembly · December 1984,1984-12-01,1989-11-30,complete,30 ACs. Poll day recorded as first of month because the public page does not expose a specific poll day in fetched content. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-1978,assembly,Arunachal Pradesh Assembly · February 1978,1978-02-25,1983-02-24,complete,30 ACs. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-1980,assembly,Arunachal Pradesh Assembly · January 1980,1980-01-03,1985-01-02,complete,30 ACs. Public page records polling on 3 January 1980; event id follows the public polling month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-2024,assembly,Arunachal Pradesh Assembly · April 2024,2024-04-19,2029-04-18,complete,Held concurrently with Parliament 2024 phase 1.
arunachal-pradesh,assembly-1990,assembly,Arunachal Pradesh Assembly · March 1990,1990-03-01,1995-02-28,complete,60 ACs. Poll day recorded as first of month because the public page does not expose a specific poll day in fetched content. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-1995,assembly,Arunachal Pradesh Assembly · March 1995,1995-03-01,2000-02-29,complete,60 ACs. Poll day recorded as first of month because the public page does not expose a specific poll day in fetched content. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-1999,assembly,Arunachal Pradesh Assembly · October 1999,1999-10-03,2004-10-02,complete,59 contested ACs reported in the panel slice; public results include 60 assembly seats with at least one unopposed return. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-2004,assembly,Arunachal Pradesh Assembly · October 2004,2004-10-07,2009-10-06,complete,57 contested ACs reported in the panel slice; public results include 60 assembly seats with unopposed returns. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
arunachal-pradesh,assembly-2009,assembly,Arunachal Pradesh Assembly · October 2009,2009-10-13,2014-10-12,complete,60 ACs. Public page records polling on 13 October 2009; event id follows the public polling month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
arunachal-pradesh,general-2019,parliament,Arunachal Pradesh · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
arunachal-pradesh,general-2024,parliament,Arunachal Pradesh · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
assam,assembly-1996,assembly,Assam Assembly · April 1996,1996-04-27,2001-04-26,complete,122 ACs. Poll held on 27 April 1996. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
assam,assembly-2006,assembly,Assam Assembly · April 2006,2006-04-10,2011-04-09,complete,126 ACs. Two-phase poll on 3 and 10 April 2006; event date records the final polling day rather than the panel's May month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
assam,assembly-2011,assembly,Assam Assembly · April 2011,2011-04-11,2016-04-10,complete,126 ACs. Two-phase poll on 4 and 11 April 2011; event date records the final polling day rather than the panel's May month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
assam,assembly-2016,assembly,Assam Assembly · April 2016,2016-04-11,2021-04-10,complete,Two-phase poll: 4 April 2016 and 11 April 2016. 126 ACs. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: []).
assam,assembly-2021,assembly,Assam Assembly · March-April 2021,2021-04-06,2026-04-05,complete,"Three-phase poll: 27 March, 1 April, 6 April 2021. 126 ACs. Shared event_id with Kerala 2021. Ingested from hand-downloaded old.eci.gov.in Section 10 XLSX (sources: [])."
assam,assembly-1985,assembly,Assam Assembly · December 1985,1985-12-01,1990-11-30,complete,"126 ACs. Poll held in December 1985 after the Assam Accord; public page does not expose an exact polling day, so the month-first date is used. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
assam,assembly-1978,assembly,Assam Assembly · February 1978,1978-02-25,1983-02-24,complete,126 ACs. Poll held on 25 February 1978. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
assam,assembly-1983,assembly,Assam Assembly · February 1983,1983-02-20,1988-02-19,complete,Panel carries 109 ACs for the 14-20 February 1983 election; public summaries report 114 contested seats amid Assam Movement boycott calls and violence. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
assam,assembly-1991,assembly,Assam Assembly · June 1991,1991-06-08,1996-06-07,complete,126 ACs. Two-phase poll on 6 and 8 June 1991; event date records the final polling day rather than the panel's May month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
assam,assembly-2001,assembly,Assam Assembly · May 2001,2001-05-10,2006-05-09,complete,126 ACs. Poll held on 10 May 2001. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
assam,assembly-2026,assembly,Assam Assembly · May 2026,2026-05-08,2031-05-07,complete,
assam,general-2019,parliament,Assam · Parliament 2019,2019-05-19,2024-05-23,complete,"National Parliament 2019 (seven-phase, 11 Apr - 19 May 2019; counted 23 May 2019). State slice of the all-India event general-2019. The state's MPs sent to the 17th Parliament; kept separate from the state Assembly per ADR-0023."
assam,general-2024,parliament,Assam · Parliament 2024,2024-06-01,,complete,"National Parliament 2024 (multi-phase, 19 Apr - 1 Jun 2024; counted 4 Jun 2024). State slice of the all-India event general-2024. The state's MPs sent to the national Parliament; kept separate from the state Assembly per ADR-0023."
bihar,assembly-1990,assembly,Bihar Assembly · February 1990,1990-02-27,1995-02-26,complete,324 ACs. Poll held on 27 February 1990. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
bihar,assembly-2000,assembly,Bihar Assembly · February 2000,2000-02-22,2005-02-21,complete,324 ACs. Poll held from 12 to 22 February 2000; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
bihar,assembly-2005,assembly,Bihar Assembly · February 2005,2005-02-23,,complete,"243 ACs. Three-phase poll on 3, 15, and 23 February 2005. The result was fractured and no government was formed; Bihar returned to polls in October-November 2005. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
bihar,assembly-1985,assembly,Bihar Assembly · March 1985,1985-03-05,1990-03-04,complete,324 ACs. Poll held on 2 and 5 March 1985; event date uses the final polling day rather than the panel's February month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
bihar,assembly-1995,assembly,Bihar Assembly · March 1995,1995-03-28,2000-03-27,complete,324 ACs. Poll held on 25 and 28 March 1995; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
bihar,assembly-1980,assembly,Bihar Assembly · May 1980,1980-05-31,1985-05-30,complete,324 ACs. Public page records polling on 31 May 1980; event date uses the public polling date rather than the panel's June month. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3).
bihar,assembly-2005,assembly,Bihar Assembly · October-November 2005,2005-11-19,2010-11-18,complete,"243 ACs. Fresh election after the February 2005 fractured verdict; four-phase poll on 18 and 26 October, 13 and 19 November 2005. Event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=3)."
bihar,assembly-2010,assembly,Bihar Assembly · October-November 2010,2010-11-20,2015-11-19,complete,243 ACs. Six-phase poll from 21 October to 20 November 2010; event date uses the final polling day. Ingested from All_States_AE.csv via the statewise AE panel path (DelimID=4).
