axis_id,axis_label,axis_description,allow_compute_on_read_total,value_id,value_label,value_description,deprecated
allocation_basis,Allocation basis (geographic vs contractual),Open question Q1 flagged in migration ledger §5 — used by CEA installed capacity (geographical-sited vs contractually-allocated share). Registered now so the energy ingest in Phase 2 has the surface; the canonical decision (whether to consolidate or keep as two parents) is owned by Max + Hans.,false,contractual,Contractually allocated,Entity's allocated SHARE of central-sector / pooled capacity (where_allocated framing). Per D-attribution-geography clarification 4.2.,false
allocation_basis,Allocation basis (geographic vs contractual),Open question Q1 flagged in migration ledger §5 — used by CEA installed capacity (geographical-sited vs contractually-allocated share). Registered now so the energy ingest in Phase 2 has the surface; the canonical decision (whether to consolidate or keep as two parents) is owned by Max + Hans.,false,geographical,Geographically sited,Capacity physically located in the entity (where_produced framing).,false
category,Social category,"SC / ST / OBC / general split for indicators that publish this break (SECC, NFHS, NSO labour, education enrollment). The aggregation rule is publisher-specific (some publish 'others' as residual, some publish all four; the adapter preserves the published shape).",true,general,General,,false
category,Social category,"SC / ST / OBC / general split for indicators that publish this break (SECC, NFHS, NSO labour, education enrollment). The aggregation rule is publisher-specific (some publish 'others' as residual, some publish all four; the adapter preserves the published shape).",true,obc,Other Backward Classes,,false
category,Social category,"SC / ST / OBC / general split for indicators that publish this break (SECC, NFHS, NSO labour, education enrollment). The aggregation rule is publisher-specific (some publish 'others' as residual, some publish all four; the adapter preserves the published shape).",true,others,Others (publisher residual),,false
category,Social category,"SC / ST / OBC / general split for indicators that publish this break (SECC, NFHS, NSO labour, education enrollment). The aggregation rule is publisher-specific (some publish 'others' as residual, some publish all four; the adapter preserves the published shape).",true,sc,Scheduled Caste,,false
category,Social category,"SC / ST / OBC / general split for indicators that publish this break (SECC, NFHS, NSO labour, education enrollment). The aggregation rule is publisher-specific (some publish 'others' as residual, some publish all four; the adapter preserves the published shape).",true,st,Scheduled Tribe,,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,clothing,CPI Clothing and footwear,,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,combined_yoy,CPI Combined (YoY),"Headline YoY combined CPI as published by MoSPI/RBI — first-class facet, not derived.",false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,core,CPI Core (excl. food + fuel),,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,food,CPI Food and beverages,,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,fuel,CPI Fuel and light,,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,general,CPI General,,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,housing,CPI Housing,,false
cpi_category,CPI category,"Per D33.7 — CPI sub-indices including combined_yoy as a facet value alongside food/fuel/housing/general. Aggregates published by the source, NEVER re-derived from sub-indices.",false,miscellaneous,CPI Miscellaneous,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,crimes_against_children,Crimes against children,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,crimes_against_sc,Crimes against SC,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,crimes_against_st,Crimes against ST,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,crimes_against_women,Crimes against women,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,cyber_crimes,Cyber crimes,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,economic_offences,Economic offences,,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,ipc_total,IPC crimes (total),,false
crime_category,Crime category,Citizen-readable rollup of NCRB crime categories. Sub-categories within IPC vs SLL preserved separately so the user can drill from category to subhead without losing the IPC/SLL distinction.,true,sll_total,SLL crimes (total),,false
efficiency_dimension,Distribution efficiency dimension,"Decomposes overall distribution efficiency into its three ICED-published sub-indicators: billing efficiency, collection efficiency, and T&D loss. The first two multiply (after rescaling) to give the commercial half of AT&C losses; the third is the technical half. allow_compute_on_read_total is False because percentages are not additive across dimensions.",false,billing,Billing efficiency,"Share of energy actually billed to a consumer, out of total energy input to the distribution system. 100% = every kWh that enters the grid was billed.",false
efficiency_dimension,Distribution efficiency dimension,"Decomposes overall distribution efficiency into its three ICED-published sub-indicators: billing efficiency, collection efficiency, and T&D loss. The first two multiply (after rescaling) to give the commercial half of AT&C losses; the third is the technical half. allow_compute_on_read_total is False because percentages are not additive across dimensions.",false,collection,Collection efficiency,Share of billed revenue actually collected from consumers. 100% = every rupee billed was paid.,false
efficiency_dimension,Distribution efficiency dimension,"Decomposes overall distribution efficiency into its three ICED-published sub-indicators: billing efficiency, collection efficiency, and T&D loss. The first two multiply (after rescaling) to give the commercial half of AT&C losses; the third is the technical half. allow_compute_on_read_total is False because percentages are not additive across dimensions.",false,td_loss,T&D loss,Transmission and Distribution loss as % of energy input -- the technical half of AT&C losses (heat / ageing / unmetered consumption losses on the wires).,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,biomass,Biomass,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,coal,Coal,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,diesel,Diesel,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,gas,Natural gas,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,hybrid_bundled,Hybrid (bundled),Bundled hybrid PPAs (e.g. wind + solar + storage sold as one contract). A procurement-channel category rather than a pure fuel; carried on the fuel_type axis for renderer reuse. Used by `power-purchase-share-pct-hybrid-bundled` (PR-W). No SUB_FUEL_TO_CANONICAL collapse target -- the bundle is irreducible at publisher grain.,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,hydro,Large hydro,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,lignite,Lignite,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,nuclear,Nuclear,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,oil,Oil,Primary-energy crude-oil + petroleum-products aggregate (distinct from `diesel` which is a refined-product cut). Used by `india-primary-energy-supply-mtoe-oil` (PR-U). Publisher label `oil` maps 1:1; no SUB_FUEL_TO_CANONICAL collapse step.,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,renewable,Renewables (aggregate),Top-level renewables aggregate (used when publisher emits a single RE bucket instead of breaking into solar / wind / biomass etc). Publisher label `renewables` (plural) collapses to canonical `renewable` (singular) per indicator-naming.md. Used by `india-primary-energy-supply-mtoe-renewable` (PR-U).,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,renewable_other,Other renewables,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,small_hydro,Small hydro,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,solar,Solar (all),Combined utility + rooftop. Split via solar_utility / solar_rooftop when adapter resolves the breakdown.,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,solar_rooftop,Solar (rooftop),,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,solar_utility,Solar (utility scale),,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,trading_other,Trading and others,Electricity bought via power exchanges (IEX / PXIL) or unscheduled-interchange (UI) mechanisms -- source-agnostic at procurement time. A procurement-channel category rather than a pure fuel; carried on the fuel_type axis for renderer reuse. Used by `power-purchase-share-pct-trading-other` (PR-W).,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,waste_to_energy,Waste-to-energy,,false
fuel_type,Fuel type,"Energy source for generation / consumption indicators (installed capacity, generation MU, primary energy supply). Children of a parent like 'state-installed-capacity-mw' carry one of these values.",true,wind,Wind,,false
gender,Gender,"Citizen-readable gender split for demographic / labour / NFHS-style indicators. 'transgender' included when the source publishes it (Census 2011 onwards); rendered alongside, never aggregated into 'other'.",true,female,Female,,false
gender,Gender,"Citizen-readable gender split for demographic / labour / NFHS-style indicators. 'transgender' included when the source publishes it (Census 2011 onwards); rendered alongside, never aggregated into 'other'.",true,male,Male,,false
gender,Gender,"Citizen-readable gender split for demographic / labour / NFHS-style indicators. 'transgender' included when the source publishes it (Census 2011 onwards); rendered alongside, never aggregated into 'other'.",true,transgender,Transgender,Census 2011 introduced this category; earlier vintages do not publish it.,false
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,capital_expenditure,Capital expenditure,,false
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,capital_receipts,Capital receipts,,false
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,fiscal_deficit,Fiscal deficit,,false
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,primary_deficit,Primary deficit,,false
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,revenue_deficit,Revenue deficit,,false
head_of_account,Head of account,"Fiscal-classification axis for revenue / expenditure indicators (constitutional split — revenue vs capital, plan vs non-plan). Citizen-readable framing; not raw COFOG codes.",true,revenue_expenditure,Revenue expenditure,,false
