entity_id,eci_no,ac_name,reservation,mint_date,source_xlsx,gap_reason
IN-AC-2008-maharashtra-eci7,7,DHULE CITY,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci13,13,JALGAON CITY,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci25,25,MEHKAR,SC,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci107,107,AURANGABAD CENTRAL,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci159,159,DINDOSHI,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci168,168,CHANDIVALI,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci169,169,GHATKOPAR WEST,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci171,171,MANKHURD SHIVAJI NAGAR,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci176,176,VANDRE EAST,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci178,178,DHARAVI,SC,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci179,179,SION KOLIWADA,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci180,180,WADALA,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci181,181,MAHIM,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci182,182,WORLI,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci183,183,SHIVADI,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci184,184,BYCULLA,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci185,185,MALABAR HILL,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci186,186,MUMBADEVI,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
IN-AC-2008-maharashtra-eci187,187,COLABA,GEN,2026-06-15,2024_MH_10-Detailed_Results_1744893339.xlsx,LGD master directory lacks this AC for the 2008 delim; pending upstream sync
