eci_code,short,full,recognition_scope,home_state_codes,gained_year,notes
1,BJP,Bharatiya Janata Party,national,,1980,National since founding; allotted "Lotus" symbol
6,INC,Indian National Congress,national,,1969,National since reunification; allotted "Hand" symbol
,BSP,Bahujan Samaj Party,national,,1997,National since 1997; allotted "Elephant" symbol (except Assam/Sikkim where reserved)
,CPM,Communist Party of India (Marxist),national,,1964,National since founding; allotted "Hammer Sickle and Star" symbol
,NPP,National People's Party,national,,2019,Gained national status 2019 via Meghalaya + Manipur + Arunachal + Nagaland recognition
,AAP,Aam Aadmi Party,national,,2024,Gained national status in 2024 ECI review (after Punjab+Gujarat+Goa state wins per Hans section 9)
140,AITC,All India Trinamool Congress,national,,2024,Re-gained national in 2024 ECI review after 2023 downgrade (per Hans section 9)
544,CPI,Communist Party of India,state,IN-KL|IN-TN|IN-WB,2024,Lost national in 2024 ECI review; retained state-recognised in Kerala/TN/WB
75,AIADMK,All India Anna Dravida Munnetra Kazhagam,state,IN-TN|IN-PY,1980,EPS faction per ECI 1 Apr 2022 ruling keeps name + symbol; Q7 claims_to_parent_name=true
,AIADMK_OPS,All India Anna Dravida Munnetra Kazhagam (OPS),unrecognised_registered,IN-TN,2022,O. Panneerselvam-led splinter post-Apr 2022 ECI ruling; predecessor=AIADMK per Q7
,DMK,Dravida Munnetra Kazhagam,state,IN-TN|IN-PY,1969,Dravidian movement parent; "Rising Sun" symbol
,TDP,Telugu Desam Party,state,IN-AP,1985,N.T. Rama Rao founded 1982; state-recognised from 1985
,YSRCP,Yuvajana Sramika Rythu Congress Party,state,IN-AP,2014,Y.S. Jaganmohan Reddy faction split from INC 2011
,JSP,Jana Sena Party,state,IN-AP,2024,Pawan Kalyan faction; gained state recognition in 2024 after AP 2024 alliance with BJP+TDP
,JDS,Janata Dal (Secular),state,IN-KA,1999,H.D. Deve Gowda faction post-JD breakup
,JDU,Janata Dal (United),state,IN-AR|IN-BR|IN-MN,2003,Nitish Kumar faction; reclaimed national status briefly 2024-25 then reverted
,RJD,Rashtriya Janata Dal,state,IN-BR|IN-JH,1997,Lalu Prasad Yadav split from JD 1997
,BJD,Biju Janata Dal,state,IN-OD,1997,Naveen Patnaik faction; founded in memory of Biju Patnaik
,BRS,Bharat Rashtra Samithi,state,IN-TG,2022,Renamed from Telangana Rashtra Samithi (TRS) Oct 2022; lost national 2023
,SHS,Shiv Sena,state,IN-MH,2023,Eknath Shinde faction per ECI 17 Feb 2023 ruling keeps name + bow-and-arrow; Q7 claims_to_parent_name=true
,SHS_UBT,Shiv Sena (Uddhav Balasaheb Thackeray),state,IN-MH,2023,Uddhav Thackeray faction allotted flaming-torch symbol post-Feb 2023 ECI ruling; predecessor=SHS per Q7
,NCP,Nationalist Congress Party,state,IN-MH|IN-NL,2024,Ajit Pawar faction per ECI 6 Feb 2024 ruling keeps name + clock symbol; Q7 claims_to_parent_name=true (lost national in 2023; state-only post-2024)
,NCPSP,Nationalist Congress Party (Sharadchandra Pawar),state,IN-MH,2024,Sharad Pawar faction allotted man-blowing-turha symbol post-Feb 2024 ECI ruling; predecessor=NCP per Q7
,AGP,Asom Gana Parishad,state,IN-AS,1985,Assam regional founded post-Assam Accord
,AIUDF,All India United Democratic Front,state,IN-AS,2009,Badruddin Ajmal founded 2005
