legacy_path,topic_or_family,status,target_phase,replacement_indicator_id,replacement_facet_values,notes
# yen-gov canonical-pivot migration ledger
# Phase 0.5 of THE PLAN (TODO/20260517-canonical-long-format-pivot.md).
# Authority: Max owns indicator decisions; Hans owns governance framing.
# Lines starting with # are comments.
#
# Columns:
#   legacy_path                — current path under datasets/ (pre-pivot).
#   topic_or_family            — destination canonical family.
#   status                     — migrate | consolidate | drop | queue
#                                 migrate     = port verbatim into canonical store with the named replacement_indicator_id.
#                                 consolidate = merge into a parent indicator via facet-explode (D26); replacement_facet_values populated.
#                                 drop        = retire with reason in notes; gets a row in datasets/_old/DELETED.md (D36) at deletion time.
#                                 queue       = legitimate but deferred to a later phase; Max + Hans revisit before that phase begins.
#   target_phase               — phase in which the migrate/consolidate ingest lands (per THE PLAN §6-§11).
#   replacement_indicator_id   — canonical id per D30 naming convention. Empty for drop/queue.
#   replacement_facet_values   — JSON literal of dimension_values when status=consolidate. Empty otherwise.
#   notes                      — rationale, Hans/Max question flags, consolidation pass markers.
#
# This ledger is the contract for what canonical store must absorb before
# datasets/_old/ can be deleted (D14 checklist). Empty target_phase or
# unresolved 'queue' rows BLOCK Phase 1.8 deletion.
#
# ----- ELECTIONS (Phase 1) — one row per election_id; all migrate into
# ----- datasets/elections/observations.parquet via ECI adapter rewrite (§7 step 1.1).
datasets/elections/AcGenApr2016,elections,migrate,1,elections,,Kerala 2016 + TN 2016 + WB 2016 + PY 2016 + AS 2016.
datasets/elections/AcGenMay2016,elections,migrate,1,elections,,WB phase tail + KL phase tail.
datasets/elections/AcGenFeb2017,elections,migrate,1,elections,,Punjab 2017 + Goa 2017.
datasets/elections/AcGenMar2017,elections,migrate,1,elections,,UP 2017 + UK 2017 + MN 2017.
datasets/elections/AcGenNov2017,elections,migrate,1,elections,,HP 2017.
datasets/elections/AcGenDec2017,elections,migrate,1,elections,,Gujarat 2017.
datasets/elections/AcGenFeb2018,elections,migrate,1,elections,,Tripura 2018 + Nagaland 2018 + Meghalaya 2018.
datasets/elections/AcGenMay2018,elections,migrate,1,elections,,Karnataka 2018.
datasets/elections/AcGenApr2019,elections,migrate,1,elections,,AP 2019 + AR 2019 + OD 2019 + SK 2019 (with LS).
datasets/elections/AcGenOct2019,elections,migrate,1,elections,,Maharashtra 2019 + Haryana 2019.
datasets/elections/AcGenDec2019,elections,migrate,1,elections,,Jharkhand 2019.
datasets/elections/AcGenFeb2020,elections,migrate,1,elections,,Delhi 2020.
datasets/elections/AcGenNov2020,elections,migrate,1,elections,,Bihar 2020.
datasets/elections/AcGenApr2021,elections,migrate,1,elections,,TN 2021 + KL 2021 + WB 2021 + PY 2021 + AS 2021.
datasets/elections/AcGenFeb2022,elections,migrate,1,elections,,UP 2022 + UK 2022 + Goa 2022 + PB 2022 + MN 2022.
datasets/elections/AcGenMar2022,elections,migrate,1,elections,,UP/PB tail.
datasets/elections/AcGenNov2022,elections,migrate,1,elections,,Himachal 2022 + Gujarat 2022.
datasets/elections/AcGenDec2022,elections,migrate,1,elections,,Gujarat tail.
datasets/elections/AcGenFeb2023,elections,migrate,1,elections,,Tripura 2023 + Nagaland 2023 + Meghalaya 2023.
datasets/elections/AcGenMay2023,elections,migrate,1,elections,,Karnataka 2023.
datasets/elections/AcGenNov2023,elections,migrate,1,elections,,MP 2023 + RJ 2023 + CG 2023 + TG 2023 + MZ 2023.
datasets/elections/AcGenApr2019,elections,migrate,1,elections,,duplicate row guarded by writer UPSERT — kept for ledger completeness.
datasets/elections/AcGenJun2024,elections,migrate,1,elections,,AP 2024 + AR 2024 + OD 2024 + SK 2024 (with LS 2024).
datasets/elections/AcGenOct2024,elections,migrate,1,elections,,Haryana 2024 + J&K 2024.
datasets/elections/AcGenNov2024,elections,migrate,1,elections,,Maharashtra 2024 + Jharkhand 2024.
datasets/elections/AcGenFeb2025,elections,migrate,1,elections,,Delhi 2025.
datasets/elections/AcGenNov2025,elections,migrate,1,elections,,Bihar 2025.
datasets/elections/AcGenMay2026,elections,migrate,1,elections,,TN 2026 + KL 2026 + WB 2026 + PY 2026 + AS 2026 (current cycle when ingested).
#
# ----- ENERGY (Phase 2) — 41 legacy artifacts; heavy consolidation via D26 facet-explode.
# ----- See D33.2 (distribution losses), D33.8 (fuel_type=total → compute-on-read).
datasets/indicators/in/energy/installed_capacity_coal_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""coal""}",Facet-explode child of state-installed-capacity-mw.
datasets/indicators/in/energy/installed_capacity_gas_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""gas""}",Facet-explode child.
datasets/indicators/in/energy/installed_capacity_hydro_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""hydro""}",Facet-explode child.
datasets/indicators/in/energy/installed_capacity_nuclear_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""nuclear""}",Facet-explode child.
datasets/indicators/in/energy/installed_capacity_renewable_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""renewable""}",Facet-explode child. May further explode into solar/wind/biomass once MNRE adapter lands.
datasets/indicators/in/energy/installed_capacity_thermal_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""thermal""}",Facet-explode child (covers coal+gas+lignite+diesel under CEA total-thermal definition).
datasets/indicators/in/energy/installed_capacity_total_mw.json,energy,drop,2,,,D33.8 — total is compute-on-read SUM(value) GROUP BY state year. Drop reason: redundant with parent + children.
datasets/indicators/in/energy/installed_mw_by_state.json,energy,drop,2,,,Duplicate of state-installed-capacity-mw with different source vintage; reconcile via UPSERT logical key.
datasets/indicators/in/energy/state_installed_capacity_by_source_mw.json,energy,drop,2,,,Duplicate of installed_capacity_by_source_mw.json — same parent.
datasets/indicators/in/energy/state_installed_capacity_geographical_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""allocation_basis"":""geographical""}",NEW facet axis 'allocation_basis' required — add to facet-axes.json in Phase 0.4. Max sign-off pending.
datasets/indicators/in/energy/state_installed_capacity_total_mw.json,energy,drop,2,,,Duplicate of installed_capacity_total_mw.
datasets/indicators/in/energy/state_installed_capacity_with_alloc_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""allocation_basis"":""contractual""}",With central-share allocation. Pairs with geographical above.
datasets/indicators/in/energy/state_renewable_grid_capacity_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""renewable""}",Likely subsumed by renewable child; reconcile source vintages.
datasets/indicators/in/energy/state_rooftop_solar_capacity_mw.json,energy,consolidate,2,state-installed-capacity-mw,"{""fuel_type"":""solar_rooftop""}",Distinct from utility-scale solar; treat as own fuel_type sub-value.
