party_id_or_short,full_name,native_script_name,brand_colour_hex,symbol_asset_url,wikipedia_url,myneta_url,recognition_blurb,notes
parties.IN.BJP,Bharatiya Janata Party,भारतीय जनता पार्टी,#FF9933,party-symbols/lotus.svg,https://en.wikipedia.org/wiki/Bharatiya_Janata_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=BJP,National party; Lotus symbol; saffron #FF9933,Founded 1980 from Jana Sangh lineage; symbol Lotus
parties.IN.INC,Indian National Congress,भारतीय राष्ट्रीय कांग्रेस,#00BFFF,party-symbols/hand.svg,https://en.wikipedia.org/wiki/Indian_National_Congress,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=INC,National party; Hand symbol; sky-blue #00BFFF,Founded 1885; oldest mass political party in India
parties.IN.BSP,Bahujan Samaj Party,बहुजन समाज पार्टी,#22409A,party-symbols/elephant.svg,https://en.wikipedia.org/wiki/Bahujan_Samaj_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=BSP,National party; Elephant symbol (except AS/SK); navy #22409A,Founded 1984 by Kanshi Ram
parties.IN.CPIM,Communist Party of India (Marxist),भारत की कम्युनिस्ट पार्टी (मार्क्सवादी),#CC0D0D,party-symbols/hammer-sickle-and-star.png,https://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist),https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=CPI(M),National party; Hammer Sickle and Star symbol; red #CC0D0D,Founded 1964 split from CPI
parties.IN.CPI,Communist Party of India,भारतीय कम्युनिस्ट पार्टी,#F50222,party-symbols/ears-of-corn-and-sickle.svg,https://en.wikipedia.org/wiki/Communist_Party_of_India,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=CPI,State party (KL/TN/WB); Ears of Corn and Sickle symbol; red #F50222,Founded 1925; lost national status 2024
parties.IN.AAP,Aam Aadmi Party,आम आदमी पार्टी,#0072B0,party-symbols/broom.png,https://en.wikipedia.org/wiki/Aam_Aadmi_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=AAP,National party (gained 2024); Broom symbol; blue #0072B0,Founded 2012 from anti-corruption movement
parties.IN.AITC,All India Trinamool Congress,সর্বভারতীয় তৃণমূল কংগ্রেস,#20C646,party-symbols/flowers-and-grass.svg,https://en.wikipedia.org/wiki/All_India_Trinamool_Congress,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=AITC,National party (re-gained 2024); Flowers and Grass symbol; green #20C646,Founded 1998 by Mamata Banerjee; native script Bengali
parties.IN.NPP,National People's Party,न्याशनल पीपल्स पार्टी,#FFCA61,party-symbols/book.svg,https://en.wikipedia.org/wiki/National_People%27s_Party_(India),,National party (gained 2019); Book symbol; yellow #FFCA61,Meghalaya-headquartered; first ENE party with national status
parties.IN.DMK,Dravida Munnetra Kazhagam,திராவிட முன்னேற்றக் கழகம்,#FA2223,party-symbols/rising-sun.svg,https://en.wikipedia.org/wiki/Dravida_Munnetra_Kazhagam,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=DMK,State party (TN/PY); Rising Sun symbol; red #FA2223,Founded 1949; Tamil native script
parties.IN.AIADMK,All India Anna Dravida Munnetra Kazhagam,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,#009933,party-symbols/two-leaves.svg,https://en.wikipedia.org/wiki/All_India_Anna_Dravida_Munnetra_Kazhagam,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=AIADMK,State party (TN/PY); Two Leaves symbol; green #009933,Founded 1972 by MGR; ECI-favoured side post-2022 split (EPS)
parties.IN.AIADMK_OPS,All India Anna Dravida Munnetra Kazhagam (OPS),அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் (ஓ.பி.எஸ்.),,,https://en.wikipedia.org/wiki/All_India_Anna_Dravida_Munnetra_Kazhagam,,Unrecognised registered (TN); OPS faction post-2022,Wikipedia URL aligned to canonical (PR-W-2 hans_mints authority) - faction lacks standalone EN page; parent article covers the split
parties.IN.AMMK,Amma Makkal Munnetra Kazhagam,அம்மா மக்கள் முன்னேற்றக் கழகம்,#04F404,party-symbols/gift-box.png,https://en.wikipedia.org/wiki/Amma_Makkal_Munnetra_Kazhagam,,Unrecognised registered (TN); Gift-Box symbol; green #04F404,Founded 2018 by Sasikala wing post-Jayalalithaa
parties.IN.TVK,Tamilaga Vettri Kazhagam,தமிழக வெற்றிக் கழகம்,,,https://en.wikipedia.org/wiki/Tamilaga_Vettri_Kazhagam,,Unrecognised registered (TN); Actor Vijay's party founded Feb 2024,Symbol allocation pending at snapshot date
parties.IN.PMK,Pattali Makkal Katchi,பாட்டாளி மக்கள் கட்சி,#FFD700,party-symbols/mango.svg,https://en.wikipedia.org/wiki/Pattali_Makkal_Katchi,,State party (TN); Mango symbol; yellow #FFD700,Founded 1989 by S. Ramadoss; Vanniyar base
parties.IN.MDMK,Marumalarchi Dravida Munnetra Kazhagam,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,,party-symbols/top.svg,https://en.wikipedia.org/wiki/Marumalarchi_Dravida_Munnetra_Kazhagam,,State party (TN); Top symbol,Founded 1994 by Vaiko split from DMK
parties.IN.VCK,Viduthalai Chiruthaigal Katchi,விடுதலை சிறுத்தைகள் கட்சி,#FF0000,party-symbols/pot.svg,https://en.wikipedia.org/wiki/Viduthalai_Chiruthaigal_Katchi,,State party (TN); Pot symbol; red #FF0000,Founded 1982 (as Dalit Panthers); Thol. Thirumavalavan
parties.IN.PT,Puthiya Tamilagam,புதிய தமிழகம்,,,https://en.wikipedia.org/wiki/Puthiya_Tamilagam,,Unrecognised registered (TN); K. Krishnasamy,Dalit Devendrakula Vellalar base; founded 1997
parties.IN.NTK,Naam Tamilar Katchi,நாம் தமிழர் கட்சி,,,https://en.wikipedia.org/wiki/Naam_Tamilar_Katchi,,Unrecognised registered (TN); Seeman's party,Founded 2010; Tamil-nationalist base; brand_colour DEFERRED - canonical has #B31818 + Wikipedia shows red+yellow palette; surface for curator review
parties.IN.IUML,Indian Union Muslim League,ഇന്ത്യൻ യൂണിയൻ മുസ്ലിം ലീഗ്,#006600,party-symbols/ladder.svg,https://en.wikipedia.org/wiki/Indian_Union_Muslim_League,,State party (KL); Ladder symbol; dark green #006600,Founded 1948; Malayalam native script; brand_colour aligned to canonical (#006600 darker green)
parties.IN.SHS,Shiv Sena,शिवसेना,#F47216,party-symbols/bow-and-arrow.svg,https://en.wikipedia.org/wiki/Shiv_Sena,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=SHS,State party (MH); Bow-and-Arrow symbol; saffron #F47216,Founded 1966 by Bal Thackeray; Shinde faction post-2023 ECI ruling
parties.IN.SS_UBT,Shiv Sena (Uddhav Balasaheb Thackeray),शिवसेना (उद्धव बाळासाहेब ठाकरे),#FD7D24,party-symbols/flaming-torch.png,https://en.wikipedia.org/wiki/Shiv_Sena_(UBT),https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=SHSUBT,State party (MH); Flaming-Torch symbol; saffron #FD7D24,Uddhav Thackeray faction post-2023 ECI split; Marathi native script
parties.IN.NCP,Nationalist Congress Party,राष्ट्रवादी कांग्रेस पार्टी,#019966,party-symbols/clock.svg,https://en.wikipedia.org/wiki/Nationalist_Congress_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=NCP,State party (MH/NL); Clock symbol; green #019966,Ajit Pawar faction post-2024 ECI ruling; founded 1999
parties.IN.NCP_SP,Nationalist Congress Party - Sharadchandra Pawar,राष्ट्रवादी कांग्रेस पार्टी - शरदचंद्र पवार,#0029B0,party-symbols/man-blowing-turha.png,https://en.wikipedia.org/wiki/Nationalist_Congress_Party_%E2%80%93_Sharadchandra_Pawar,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=NCPSP,State party (MH); Man-Blowing-Turha symbol; blue #0029B0,Sharad Pawar faction post-2024 ECI split
parties.IN.MNS,Maharashtra Navnirman Sena,महाराष्ट्र नवनिर्माण सेना,,party-symbols/railway-engine.png,https://en.wikipedia.org/wiki/Maharashtra_Navnirman_Sena,,State party (MH); Railway-Engine symbol,Founded 2006 by Raj Thackeray; brand_colour DEFERRED - canonical has #5F2301 + Wikipedia infobox shows blue+saffron palette; surface for curator review in PR-W-3-followup
parties.IN.SP,Samajwadi Party,समाजवादी पार्टी,#FF2222,party-symbols/cycle.png,https://en.wikipedia.org/wiki/Samajwadi_Party,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=SP,State party (UP); Bicycle symbol; red #FF2222,Founded 1992 by Mulayam Singh Yadav
parties.IN.RJD,Rashtriya Janata Dal,राष्ट्रीय जनता दल,#056D05,party-symbols/hurricane-lamp.png,https://en.wikipedia.org/wiki/Rashtriya_Janata_Dal,https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=RJD,State party (BR/JH); Hurricane-Lamp symbol; green #056D05,Founded 1997 by Lalu Prasad Yadav
parties.IN.JDU,Janata Dal (United),जनता दल (यूनाइटेड),#003366,party-symbols/arrow.svg,https://en.wikipedia.org/wiki/Janata_Dal_(United),https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=JDU,State party (BR); Arrow symbol; navy #003366,Founded 2003; Nitish Kumar
parties.IN.JDS,Janata Dal (Secular),ಜನತಾ ದಳ (ಜಾತ್ಯತೀತ),#02865A,party-symbols/female-farmer.svg,https://en.wikipedia.org/wiki/Janata_Dal_(Secular),https://www.myneta.info/LokSabha2024/index.php?action=summary&subAction=party&party=JD(S),State party (KA); Female-Farmer-with-Paddy-Sheaf symbol; green #02865A,Founded 1999 by H.D. Deve Gowda; Kannada native script
