lgd_state_code,iso_3166_2,slug,aliases
1,IN-JK,jammu-and-kashmir,Jammu & Kashmir
2,IN-HP,himachal-pradesh,
3,IN-PB,punjab,
4,IN-CH,chandigarh,
5,IN-UT,uttarakhand,
6,IN-HR,haryana,
7,IN-DL,delhi,
8,IN-RJ,rajasthan,
9,IN-UP,uttar-pradesh,
10,IN-BR,bihar,
11,IN-SK,sikkim,
12,IN-AR,arunachal-pradesh,
13,IN-NL,nagaland,
14,IN-MN,manipur,
15,IN-MZ,mizoram,
16,IN-TR,tripura,
17,IN-ML,meghalaya,
18,IN-AS,assam,
19,IN-WB,west-bengal,
20,IN-JH,jharkhand,
21,IN-OR,odisha,
22,IN-CT,chhattisgarh,
23,IN-MP,madhya-pradesh,
24,IN-GJ,gujarat,
27,IN-MH,maharashtra,
28,IN-AP,andhra-pradesh,
29,IN-KA,karnataka,
30,IN-GA,goa,
31,IN-LD,lakshadweep,
32,IN-KL,kerala,
33,IN-TN,tamil-nadu,
34,IN-PY,puducherry,
35,IN-AN,andaman-and-nicobar,Andaman & Nicobar
36,IN-TG,telangana,
37,IN-LA,ladakh,
38,IN-DH,dadra-and-nagar-haveli-and-daman-and-diu,Dadra And Nagar Haveli And Daman And Diu
