office_id,name,office_kind,jurisdiction_entity_id,portfolio
IN-PRES,President of India,pres,IN,
IN-S01-CM,Chief Minister of Andhra Pradesh,cm,andhra-pradesh,
IN-S02-CM,Chief Minister of Arunachal Pradesh,cm,arunachal-pradesh,
IN-S03-CM,Chief Minister of Assam,cm,assam,
IN-S04-CM,Chief Minister of Bihar,cm,bihar,
IN-S05-CM,Chief Minister of Goa,cm,goa,
IN-S06-CM,Chief Minister of Gujarat,cm,gujarat,
IN-S07-CM,Chief Minister of Haryana,cm,haryana,
IN-S08-CM,Chief Minister of Himachal Pradesh,cm,himachal-pradesh,
IN-S10-CM,Chief Minister of Karnataka,cm,karnataka,
IN-S11-CM,Chief Minister of Kerala,cm,kerala,
IN-S12-CM,Chief Minister of Madhya Pradesh,cm,madhya-pradesh,
IN-S13-CM,Chief Minister of Maharashtra,cm,maharashtra,
IN-S14-CM,Chief Minister of Manipur,cm,manipur,
IN-S15-CM,Chief Minister of Meghalaya,cm,meghalaya,
IN-S16-CM,Chief Minister of Mizoram,cm,mizoram,
IN-S17-CM,Chief Minister of Nagaland,cm,nagaland,
IN-S18-CM,Chief Minister of Odisha,cm,odisha,
IN-S19-CM,Chief Minister of Punjab,cm,punjab,
IN-S20-CM,Chief Minister of Rajasthan,cm,rajasthan,
IN-S21-CM,Chief Minister of Sikkim,cm,sikkim,
IN-S22-CM,Chief Minister of Tamil Nadu,cm,tamil-nadu,
IN-S23-CM,Chief Minister of Tripura,cm,tripura,
IN-S24-CM,Chief Minister of Uttar Pradesh,cm,uttar-pradesh,
IN-S25-CM,Chief Minister of West Bengal,cm,west-bengal,
IN-S26-CM,Chief Minister of Chhattisgarh,cm,chhattisgarh,
IN-S27-CM,Chief Minister of Jharkhand,cm,jharkhand,
IN-S28-CM,Chief Minister of Uttarakhand,cm,uttarakhand,
IN-S29-CM,Chief Minister of Telangana,cm,telangana,
IN-U05-CM,Chief Minister of NCT of Delhi,cm,delhi,
IN-U07-CM,Chief Minister of Puducherry,cm,puducherry,
IN-U08-CM,Chief Minister of Jammu and Kashmir (UT),cm,jammu-and-kashmir,
IN-VPRES,Vice President of India,vpres,IN,
