source_id,producer,title,vintage,url
src-008f07366555,Wikipedia,List of Chief Ministers of Tripura,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Tripura
src-9be18d311190,Election Commission of India,General Election to Lok Sabha 2009,2009,
src-00d07ff222d2,Wikipedia,List of Chief Ministers of Haryana,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Haryana
src-018bb42f9519,NITI Aayog India Climate & Energy Dashboard,Rooftop Solar Capacity (MW) State-wise API (per-state cumulative rooftop solar installed capacity),2024-25,https://icedapi.niti.gov.in/energy/renewable/solar/rooftop/state
src-01ee3a9101c8,Wikipedia,List of Chief Ministers of Punjab,,"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Punjab,_India"
src-02161604057c,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 2014",2014,
src-022a83aa5fe3,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Assam, 1978",1978,
src-02d2060701af,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Goa, 2012",2012,
src-03bbc852e0b1,President's Secretariat,Profile,Page Last Updated on: 24/05/2026,https://www.presidentofindia.gov.in/profile
src-04bd2da730f1,Wikipedia,List of Chief Ministers of Gujarat,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Gujarat
src-04be26e6410d,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Nagaland, 2013",2013,
src-059813a80709,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Gujarat, 1972",1972,
src-05c6e01fee51,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 2018",2018,
src-069e60bc1a2f,Wikipedia,List of Chief Ministers of Maharashtra,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Maharashtra
src-06e18fc9a280,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Bihar, 2020",2020,
src-06ef30dd9958,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of West Bengal, 2001",2001,
src-071f67ad16c1,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 2004",2004,
src-074239c7b852,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S03 AcGenMay2026,AcGenMay2026,https://www.eci.gov.in/eci-backend/public//all_files/election_report/General_Election_to_the_Legislative_Assembly_of_Assam_2026_2026/10-Detailed_Results_1778163955.xlsx
src-074f7c65aaea,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Sikkim, 1985",1985,
src-07dabe765f33,Wikipedia,List of Chief Ministers of Manipur,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Manipur
src-09023fa4b84b,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S22 AcGenMay2016,AcGenMay2016,
src-092a5dc7af3f,Central Electricity Authority,Monthly Executive Summary — Installed Capacity (IC) sheet,2026-03,https://cea.nic.in/monthly-installed-capacity-report/
src-0a33b06781c2,ramSeraph (Bhuvan mirror),Bhuvan J&K Villages (Census-2011 cadastre),2011-census,https://github.com/ramSeraph/indian_admin_boundaries/releases/tag/villages
src-0a4cbc2df833,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S17 AcGenFeb2018,AcGenFeb2018,
src-0c04cb845d7e,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S13 AcGenNov2024,AcGenNov2024,https://www.eci.gov.in/eci-backend/public//all_files/election_report/Maharashtra_Legislative_Assembly_Election__2024_2024/10-Detailed_Results_1744893339.xlsx
src-0c15367b3cab,Wikipedia,United Progressive Alliance - coalition members at the 2019 Lok Sabha general election,2019-05,https://en.wikipedia.org/wiki/United_Progressive_Alliance
src-0e8c48e664a9,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of West Bengal, 2011",2011,
src-0ea63ed47704,NITI Aayog India Climate & Energy Dashboard,"Distribution RPO Compliance API (state-wise Renewable Purchase Obligation compliance, by segment)",2024-25,https://icedapi.niti.gov.in/energy/electricity/distribution/rpo
src-0ebe2677f04a,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Kerala, 1982",1982,
src-0f333e5073e3,President's Secretariat,Former Presidents of India,Page Last Updated on: 2026-06-09,https://presidentofindia.nic.in/former-presidents.htm
src-1048ce25cf5f,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Haryana, 1987",1987,
src-111d478574b6,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Madhya Pradesh, 1985",1985,
src-115a1d3b069c,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Nagaland, 2008",2008,
src-1194e3295b48,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S26 AcGenNov2023,AcGenNov2023,https://www.eci.gov.in/eci-backend/public/all_files/full-statistical-reports/chhattisgarh/2023/Detailed_Results.xlsx
src-12340fb1cea0,Reserve Bank of India,"Handbook of Statistics on Indian Economy 2024-25, Tables 5+6 (Net State Domestic Product - State-wise, At Current + Constant Prices)",2024-25,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=Handbook+of+Statistics+on+Indian+Economy
src-1236b90051ad,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S19 AcGenFeb2017,AcGenFeb2017,
src-1240f07df0ac,NITI Aayog India Climate & Energy Dashboard,"Capacity Metatable API (state-wise installed capacity, by fuel)",2024-25,https://iced.niti.gov.in/energy/electricity/generation/capacity/state-wise
src-12feeb60dda8,Wikipedia,2021 Kerala Legislative Assembly election,2021-04,https://en.wikipedia.org/wiki/2021_Kerala_Legislative_Assembly_election
src-135c304564fd,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Puducherry, 1980",1980,
src-1401f8087b0d,NITI Aayog India Climate & Energy Dashboard,"State Power Purchase Quantum and Cost API (state-wise procurement-mix share by source, fiscal-year, 12 source buckets)",2024-25,https://icedapi.niti.gov.in/statelevel-power-purchase-quantum-and-cost
src-14034d356246,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of NCT of Delhi, 2015",2015,
src-1406dd37dd20,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S05 AcGenFeb2022,AcGenFeb2022,
src-14a20abe409d,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Himachal Pradesh, 1977",1977,
src-163e2751bb1f,Wikipedia,List of Chief Ministers of Goa,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Goa
src-165b4ac67603,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Assam, 1991",1991,
src-168b3cb9cc0e,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Mizoram, 2013",2013,
src-170d3536d908,NITI Aayog India Climate & Energy Dashboard,"Primary Energy Supply National API (national fiscal-year primary-energy supply (TPES) by source, mtoe)",2024-25,https://icedapi.niti.gov.in/analytics/state-wise-deep-dive
src-17c983e79ed9,Reserve Bank of India,"State Finances: A Study of Budgets, 2022-23 (Appendix Table 20 - Outstanding Liabilities of State Governments as Percentage of GSDP)",2022-23,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=State+Finances+%3A+A+Study+of+Budgets
src-17da38ffa757,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Himachal Pradesh, 1998",1998,
src-183b4a86ce1d,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Uttar Pradesh, 2002",2002,
src-1a418a6f08dd,Wikipedia,List of Chief Ministers of Goa,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Goa
src-1a69f6c8f902,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Karnataka, 1999",1999,
src-1a8a6f710f23,NITI Aayog India Climate & Energy Dashboard,"Key Economic Indicators API — State per-capita Private Final Consumption Expenditure (PFCE, INR)",2024-25,https://icedapi.niti.gov.in/economy-demography/key-economic-indicators/per-capita-consumption
src-1ab4290c6901,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Maharashtra, 1980",1980,
src-1af4a6a43fd6,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Punjab, 2012",2012,
src-1b31fb6cca29,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Punjab, 1997",1997,
src-0c1b8f274551,Election Commission of India,Indian Assembly Elections - Constituency-wise candidate results,2026-06-05,https://tcpd.ashoka.edu.in/lok-dhaba/
src-1bde6be308c3,Wikipedia,2021 Tamil Nadu Legislative Assembly election,2021-04,https://en.wikipedia.org/wiki/2021_Tamil_Nadu_Legislative_Assembly_election
src-1c246730d3bf,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Odisha, 1990",1990,
src-1c99e08d06f6,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Puducherry, 2011",2011,
src-1d0c0fbf96e3,"Department of Animal Husbandry & Dairying, Ministry of Fisheries, Animal Husbandry & Dairying, Government of India",Bharat Pashudhan — NADCP Vaccination Coverage (district-wise),2024-25,https://bharatpashudhan.gov.in/
src-1d2f2cd20bea,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Haryana, 1996",1996,
src-1f51c8d742bf,Reserve Bank of India,"Handbook of Statistics on Indian States, Table 143 (State-wise grid-connected renewable installed capacity, MW, end-March snapshot)",2024-25,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=22833
src-1ff7577f66bf,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Bihar, 1985",1985,
src-2067d9d88f92,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Odisha, 1974",1974,
src-2145791e9dca,Wikipedia,List of Chief Ministers of Madhya Pradesh,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Madhya_Pradesh
src-21e0449c2af1,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of NCT of Delhi, 1983",1983,
src-221329bd86ac,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Himachal Pradesh, 1993",1993,
src-22807955e180,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Mizoram, 2003",2003,
src-22b61f1fd6b4,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S23 AcGenFeb2018,AcGenFeb2018,
src-251e612f6213,yashveeeeeeer/india-geodata,India national silhouette (SoI-derived),,https://github.com/yashveeeeeeer/india-geodata
src-254843fef7c2,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Andhra Pradesh, 2014",2014,
src-263dcba882ba,NITI Aayog India Climate & Energy Dashboard,Climate-Environment Air Quality AQI Map Markers API — State-wise annual mean concentrations of NO2/SO2/PM10/PM2.5 (ug/m3),2024-25,https://icedapi.niti.gov.in/climate-environment/environment/air-quality/aqi-map-markers
src-274c3619844c,Wikipedia,List of Chief Ministers of Gujarat,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Gujarat
src-276836eeb2c1,Wikipedia,List of Chief Ministers of West Bengal,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_West_Bengal
src-276913fe2487,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Puducherry, 1996",1996,
src-27941bdc8204,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Meghalaya, 1993",1993,
src-28f37b3e31e6,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S08 AcGenNov2017,AcGenNov2017,
src-2904a41e5835,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Nagaland, 2003",2003,
src-29ecbb6dce9d,NITI Aayog India Climate & Energy Dashboard,"Final Energy Consumption National API (national fiscal-year final-energy consumption by sector x fuel composite, mtoe)",2024-25,https://icedapi.niti.gov.in/analytics/state-wise-deep-dive
src-2a3498ed6ba5,Wikipedia,2024 Jammu and Kashmir Legislative Assembly election,2024-10,https://en.wikipedia.org/wiki/2024_Jammu_and_Kashmir_Legislative_Assembly_election
src-2af556fe59e0,shijithpk,India Lok Sabha Parliamentary Constituency boundaries (georeferenced),2024,https://github.com/shijithpk/2024_maps_supplement
src-2bd23a88b63f,Wikipedia,List of Chief Ministers of Nagaland,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Nagaland
src-2c57781325fd,Wikipedia,List of Chief Ministers of Assam,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Assam
src-2c82cd8fda65,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Meghalaya, 1998",1998,
src-2cd9e8b9c9ce,Wikipedia,National Democratic Alliance (India) - coalition members at the 2024 Lok Sabha general election,2024-06,https://en.wikipedia.org/wiki/National_Democratic_Alliance
src-2d20f783ae5a,Wikipedia,2019 Indian general election,2019-05,https://en.wikipedia.org/wiki/2019_Indian_general_election
src-2e3e251ee6a4,President's Secretariat,Shri Ram Nath Kovind,Page Last Updated on: 25/05/2026,https://www.presidentofindia.gov.in/former-president/shri-ram-nath-kovind
src-2eaebbb1cfe5,Reserve Bank of India,"Handbook of Statistics on Indian Economy 2024-25, Table 9 (Per Capita Net State Domestic Product - State-wise, At Current Prices)",2024-25,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=Handbook+of+Statistics+on+Indian+Economy
src-2f4ff281b378,Wikipedia,2025 Bihar Legislative Assembly election,2025-11,https://en.wikipedia.org/wiki/2025_Bihar_Legislative_Assembly_election
src-2fbfb9f483a0,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of West Bengal, 2016",2016,
src-2fc8ad08c280,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 1985",1985,
src-308d70821d95,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Goa, 1994",1994,
src-3155ffeddf80,NITI Aayog India Climate & Energy Dashboard,"State-wise Deep Dive — Population (lakhs) by State, fiscal-year",2024-25,https://iced.niti.gov.in/analytics/state-wise-deep-dive
src-d4b15132ad0e,Election Commission of India,Indian General Elections (Lok Sabha) - Constituency-wise candidate results,2026-06-05,https://tcpd.ashoka.edu.in/lok-dhaba/
src-31d879923e61,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Arunachal Pradesh, 1980",1980,
src-324392501ae9,Reserve Bank of India,"Handbook of Statistics on Indian States 2024-25, Tables 108-111 (State-wise Average CPI Inflation: General, Food and Beverages, Fuel and Light, Housing-Urban)",2024-25,https://www.rbi.org.in/Scripts/AnnualPublications.aspx?head=Handbook+of+Statistics+on+Indian+States
src-33ba3556a8f4,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Kerala, 1980",1980,
src-33d259753407,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of NCT of Delhi, 1993",1993,
src-33e3388cf85e,Wikipedia,2021 West Bengal Legislative Assembly election - Sanyukta Morcha and other alliance members,2021-04,https://en.wikipedia.org/wiki/2021_West_Bengal_Legislative_Assembly_election
src-35e6c87c480b,Wikipedia,List of Chief Ministers of Bihar,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Bihar
src-368e01b659fe,Wikipedia,List of Chief Ministers of Punjab,operator-snapshot-2026-05,"https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Punjab,_India"
src-36cc682d1b2a,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 1980",1980,
src-3784c1ebd2b2,Wikipedia,List of Chief Ministers of Kerala,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Kerala
src-382c810a61ba,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Mizoram, 1998",1998,
src-395f973d4b88,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Rajasthan, 1977",1977,
src-3a2ad82ba6e5,Local Government Directory (Ministry of Panchayati Raj),LGD Constituency Coverage + Registers,2026-06-05,https://lgdirectory.gov.in
src-3a8323bb177d,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S01 AcGenApr2019,AcGenApr2019,
src-3bd455290edb,Wikipedia,List of Chief Ministers of Mizoram,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Mizoram
src-3bfa5f92e2a1,Wikipedia,List of Chief Ministers of Maharashtra,,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Maharashtra
src-3c76417b04b0,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Bihar, 2000",2000,
src-3ccbc5a99757,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Manipur, 1984",1984,
src-3d1d55f8a94b,Reserve Bank of India,Handbook of Statistics on Indian States — Table 140: State-wise Installed Capacity of Power,2024-25,https://rbi.org.in/Scripts/PublicationsView.aspx?id=22512
src-3d6e606da97b,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Assam, 1996",1996,
src-3da08e761d1a,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Puducherry, 1990",1990,
src-3da941c21223,Election Commission of India,Statistical Report Section 10 (Detailed Results) — S22 AcGenMay2026,AcGenMay2026,https://www.eci.gov.in/eci-backend/public//all_files/election_report/General_Election_to_the_Legislative_Assembly_of_Tamil_Nadu_2026_2026/10-Detailed_Results_1778165153.xlsx
src-3dd853e292b2,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Mizoram, 2008",2008,
src-3e2532aae1b4,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tripura, 2003",2003,
src-3efef1095d49,yen-gov (derived),"National reference line (pop-weighted average + median of states), computed from per-state values",2026-06-09,
src-3f43c6f26da5,Wikipedia,List of Chief Ministers of Madhya Pradesh,operator-snapshot-2026-05,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Madhya_Pradesh
src-3f9d4daf9289,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Sikkim, 2014",2014,
src-401ec179ced9,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Tamil Nadu, 1996",1996,
src-4040a970f10c,"Trivedi Centre for Political Data, Ashoka University",Political Parties of India - per-party catalogue compiled 1962-2021 from ECI returns (TCPD compilation),2021,https://tcpd.ashoka.edu.in/lok-dhaba/
src-419098a2fee9,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Gujarat, 2012",2012,
src-41cb48075b72,NITI Aayog India Climate & Energy Dashboard,"Key Economic Indicators API — India Balance of Payments components (national, INR crore)",2024-25,https://icedapi.niti.gov.in/economy-demography/key-economic-indicators/balance-trendline
src-41d3d3556e9d,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Meghalaya, 2008",2008,
src-421cf8d49abb,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Assam, 1985",1985,
src-4280140bc721,Election Commission of India,"Statistical Report on General Election to the Legislative Assembly of Assam, 1983",1983,
