entity_id,state,election_year,constituency_name,electors,votes_polled,turnout_pct,winner_candidate,winner_party_id,winner_party_short_raw,winner_votes,winner_share_pct,runnerup_candidate,runnerup_party_id,runnerup_party_short_raw,runnerup_votes,margin_votes,margin_pct,source_id,processing_level,processing_note
IN-AC-1976-bihar-1,bihar,2005,DHANAHA,120846,63287,52.37,RAJESH SINGH,parties.IN.RJD,RJD,19389,30.64,RAMADHAR YADAV,parties.IN.SP,SP,13287,6102,9.65,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-2,bihar,2005,BAGHA,237157,120737,50.91,PURNAMASI RAM,parties.IN.JDU,JD(U),59151,48.99,NARESH RAM,parties.IN.RJD,RJD,27481,31670,26.23,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-3,bihar,2005,RAMNAGAR,200302,97660,48.76,CHANDRA MOHAN RAI,parties.IN.BJP,BJP,20961,21.46,FAKHRUDDIN KHAN,parties.IN.LJP,LJP,20711,250,0.25,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-4,bihar,2005,SHIKARPUR,203432,97699,48.03,SUBODH KUMAR,parties.IN.NCP,NCP,30421,31.14,BHAGIRATHI DEVI,parties.IN.BJP,BJP,19161,11260,11.53,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-5,bihar,2005,SIKTA,185625,95532,51.47,DILIP VERMA,parties.IN.SP,SP,26161,27.38,KHURSID ALAM ALIS FIROZ,parties.IN.IND,IND,19504,6657,6.96,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-6,bihar,2005,LAURIA,188125,95810,50.93,PRADEEP SINGH,parties.IN.JDU,JD(U),21775,22.73,SHAMBHU TIWARI,parties.IN.BSP,BSP,21721,54,0.06,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-7,bihar,2005,CHANPATIA,189761,87431,46.07,SATISH CHANDRA DUBEY,parties.IN.BJP,BJP,27642,31.62,SHARFUDDIN SHEKH,parties.IN.SJP_R,SJP(R),11426,16216,18.55,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-8,bihar,2005,BETTIAH,250250,119551,47.77,RENU DEVI,parties.IN.BJP,BJP,48559,40.62,SHAMIM AKHTAR,parties.IN.IND,IND,37102,11457,9.59,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-9,bihar,2005,NAUTAN,195780,100094,51.13,VAIDYANATH PRASAD MAHTO,parties.IN.JDU,JD(U),29252,29.22,AMAR YADAV,parties.IN.RJD,RJD,20910,8342,8.33,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-10,bihar,2005,RAXAUL,202251,101287,50.08,DR. AJAY KUMAR SINGH,parties.IN.BJP,BJP,23640,23.34,RAJNANDAN RAI,parties.IN.IND,IND,20814,2826,2.79,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
IN-AC-1976-bihar-11,bihar,2005,SUGAULI,219751,110691,50.37,VIJAYPRASAD GUPTA,parties.IN.RJD,RJD,22281,20.13,RAMASHRAY SINGH,parties.IN.CPIM,CPM,21648,633,0.57,src-0c1b8f274551,minor,Derived in R1.6 Path A' from the partitioned candidacies.csv subset; see TODO/20260615-R1.6-bihar-2005-path-a-prime-receipt.md.
