lgd_state_code,state_name,lgd_district_code,district_name,census_2001_code,census_2011_code
1,Jammu And Kashmir,1,Anantnag,6,14
1,Jammu And Kashmir,2,Budgam,4,2
1,Jammu And Kashmir,3,Baramulla,2,8
1,Jammu And Kashmir,4,Doda,9,16
1,Jammu And Kashmir,5,Jammu,13,21
1,Jammu And Kashmir,7,Kathua,14,7
1,Jammu And Kashmir,8,Kupwara,1,1
1,Jammu And Kashmir,10,Poonch,11,5
1,Jammu And Kashmir,11,Pulwama,5,12
1,Jammu And Kashmir,12,Rajouri,12,6
1,Jammu And Kashmir,13,Srinagar,3,10
1,Jammu And Kashmir,14,Udhampur,10,19
1,Jammu And Kashmir,620,Kishtwar,9,18
1,Jammu And Kashmir,621,Ramban,9,17
1,Jammu And Kashmir,622,Kulgam,0,15
1,Jammu And Kashmir,623,Bandipora,0,9
1,Jammu And Kashmir,624,Samba,0,22
1,Jammu And Kashmir,625,Shopian,0,13
1,Jammu And Kashmir,626,Ganderbal,0,11
1,Jammu And Kashmir,627,Reasi,0,20
2,Himachal Pradesh,15,Bilaspur,8,30
2,Himachal Pradesh,16,Chamba,1,23
2,Himachal Pradesh,17,Hamirpur,6,28
2,Himachal Pradesh,18,Kangra,2,24
2,Himachal Pradesh,19,Kinnaur,12,34
2,Himachal Pradesh,20,Kullu,4,26
2,Himachal Pradesh,21,Lahaul And Spiti,3,25
2,Himachal Pradesh,22,Mandi,5,27
2,Himachal Pradesh,23,Shimla,11,33
2,Himachal Pradesh,24,Sirmaur,10,32
2,Himachal Pradesh,25,Solan,9,31
2,Himachal Pradesh,26,Una,7,29
3,Punjab,27,Amritsar,2,49
3,Punjab,28,Bathinda,14,46
3,Punjab,29,Faridkot,13,45
3,Punjab,30,Fatehgarh Sahib,8,40
3,Punjab,31,Ferozepur,11,43
3,Punjab,32,Gurdaspur,1,35
3,Punjab,33,Hoshiarpur,5,38
3,Punjab,34,Jalandhar,4,37
3,Punjab,35,Kapurthala,3,36
3,Punjab,36,Ludhiana,9,41
3,Punjab,37,Mansa,15,47
3,Punjab,38,Moga,10,42
3,Punjab,39,Sri Muktsar Sahib,12,44
3,Punjab,40,Shahid Bhagat Singh Nagar,6,39
3,Punjab,41,Patiala,17,48
3,Punjab,42,Rupnagar,7,51
3,Punjab,43,Sangrur,16,53
3,Punjab,605,Barnala,0,54
3,Punjab,608,S.A.S Nagar,0,52
3,Punjab,609,Tarn Taran,0,50
3,Punjab,651,Fazilka,0,0
3,Punjab,662,Pathankot,0,0
3,Punjab,737,Malerkotla,0,0
